Symbol,Date,Open,Close,Shortname,Sector,Weight,PcChangeDay
FE,2020-03-20,35.970001220703125,34.279998779296875,FirstEnergy Corp.,Utilities,0.0006342781566668,-4.7
FIS,2020-03-20,106.3000030517578,102.81999969482422,Fidelity National Information S,Technology,0.0017018761550165,-3.27
FISV,2020-03-20,87.11000061035156,81.7699966430664,"Fiserv, Inc.",Technology,0.001817751757887,-6.13
FLT,2020-03-20,197.6999969482422,187.02999877929688,"FleetCor Technologies, Inc.",Technology,0.0005103472854298,-5.4
FMC,2020-03-20,68.45999908447266,65.31999969482422,FMC Corporation,Basic Materials,0.0003902415469027,-4.59
F,2020-03-20,4.539999961853027,4.329999923706055,Ford Motor Company,Consumer Cyclical,0.0013736729235574,-4.63
FTNT,2020-03-20,17.535999298095703,16.98200035095215,"Fortinet, Inc.",Technology,0.0002898569032929,-3.16
FTV,2020-03-20,39.53974914550781,38.14225769042969,Fortive Corporation,Technology,0.0005838764975746,-3.53
FBHS,2020-03-20,38.86000061035156,36.59999847412109,"Fortune Brands Home & Security,",Consumer Cyclical,0.0002521355573071,-5.82
FOXA,2020-03-20,23.170000076293945,20.989999771118164,Fox Corporation,Communication Services,0.0005442281676039,-9.41
FOX,2020-03-20,22.299999237060547,20.049999237060547,Fox Corporation,Communication Services,0.000542187167114,-10.09
BEN,2020-03-20,19.43000030517578,16.899999618530273,"Franklin Resources, Inc.",Financial Services,0.0003585535755786,-13.02
FCX,2020-03-20,6.070000171661377,5.519999980926514,"Freeport-McMoRan, Inc.",Basic Materials,0.0011484042008882,-9.06
GRMN,2020-03-20,70.8499984741211,66.02999877929688,Garmin Ltd.,Technology,0.0005818851899505,-6.8
IT,2020-03-20,94.37999725341795,83.23999786376953,"Gartner, Inc.",Technology,0.0005813962998436,-11.8
GNRC,2020-03-20,89.6500015258789,84.77999877929688,Generac Holdlings Inc.,Industrials,0.0004114458764293,-5.43
GD,2020-03-20,118.19000244140624,113.98999786376952,General Dynamics Corporation,Industrials,0.0017986379085727,-3.55
GE,2020-03-20,56.08000183105469,52.15999984741211,General Electric Company,Industrials,0.0020578327302702,-6.99
GIS,2020-03-20,53.0,53.369998931884766,"General Mills, Inc.",Consumer Defensive,0.0013617471229325,0.7
GM,2020-03-20,18.420000076293945,18.13999938964844,General Motors Company,Consumer Cyclical,0.0013612022065553,-1.52
GPC,2020-03-20,65.16000366210938,55.34999847412109,Genuine Parts Company,Consumer Cyclical,0.0005799800531662,-15.06
GILD,2020-03-20,79.5,73.26000213623047,"Gilead Sciences, Inc.",Healthcare,0.0023252512340849,-7.85
GL,2020-03-20,64.62000274658203,61.40999984741211,Globe Life Inc.,Financial Services,0.0003006855633888,-4.97
GPN,2020-03-20,132.8699951171875,119.0,Global Payments Inc.,Industrials,0.0009672581148581,-10.44
GS,2020-03-20,148.99000549316406,138.41000366210938,"Goldman Sachs Group, Inc. (The)",Financial Services,0.0029016278236978,-7.1
